prenom,nom,age,genre,filiere,annee_etude,bac_serie,mention_bac,boursier,taux_presence,nb_absences,heures_travail_sem,participation_cours,nb_devoirs_rendus,note_partiel_mi,utilisation_biblio,groupe_etude,ressources_ligne,job_etudiant,heures_job_sem,distance_univ,transport,soutien_famille,stress_percu,sante_percue,sport_regulier,espace_travail,note_finale,mention
Mariamari,Ovono etoubembe,23,F,Gestion,L3,Général,0,1,73.0,5,10,3,6,11.78,0,1,1,0,0,45.2,Voiture,4,4,9,0,1,8.29,Moyen
Hirche Luca,Billel koussaila,22,M,Sciences,M1,Général,3,0,66.6,3,11,1,9,7.74,2,0,0,1,20,8.6,Transport en commun,4,7,5,1,1,6.6,Faible
Delicia,Cihyoka,19,F,Sciences,L1,Général,2,0,90.2,1,7,1,7,17.89,2,0,1,0,0,13.0,Transport en commun,1,3,7,1,1,14.49,Bon
Belicia,El alaoui es sousy,20,M,Informatique,L2,Technologique,1,1,72.8,3,15,1,8,12.4,3,0,0,0,0,11.3,Transport en commun,4,4,5,1,1,9.76,Moyen
Manal,Muller,21,F,Informatique,L2,Technologique,1,0,89.6,1,3,3,8,12.8,2,0,0,1,12,38.5,Voiture,3,6,10,1,1,10.37,Moyen
Louange,Kamrach,19,F,Sciences,L1,Général,1,1,67.4,4,12,0,9,14.41,2,0,0,0,0,21.0,Voiture,1,7,7,0,1,10.26,Moyen
Audrey,Dengue matsogni,22,F,Sciences,L2,Professionnel,0,0,90.3,2,16,0,12,14.83,2,0,1,0,0,5.9,Transport en commun,4,6,6,1,1,11.74,Moyen
Olafemi,Belatar,23,M,Droit,M2,Général,2,1,89.7,3,15,2,12,8.18,0,0,1,1,16,10.7,Transport en commun,3,4,6,1,1,11.55,Moyen
Mouniratou,Dengue matsogni,19,F,Psychologie,L1,Technologique,3,1,95.2,1,13,3,11,11.16,3,0,1,1,12,10.1,Transport en commun,3,8,7,1,0,14.69,Bon
Beni,Terkmani,20,M,Droit,L1,Technologique,0,0,62.6,4,19,3,7,9.11,0,1,0,1,20,57.6,Logement sur place,5,6,8,1,1,8.55,Moyen
CédricThomas,Nait mohamed,19,M,Sciences,L1,Technologique,0,0,72.7,4,10,2,9,18.76,0,0,0,0,0,3.5,Vélo/Marche,3,6,4,0,1,12.17,Bon
Georges,Monasse,21,M,Mathematiques,L1,Professionnel,2,1,100.0,4,3,3,10,2.12,2,1,1,1,12,1.7,Vélo/Marche,5,5,9,1,0,7.15,Faible
Manon,Badaoui,23,F,Informatique,M2,Général,3,1,70.1,4,12,3,8,8.61,4,0,0,0,0,38.3,Voiture,3,4,8,0,0,9.8,Moyen
Vavo,Pham Huu,22,F,Psychologie,L2,Technologique,1,0,87.0,1,10,5,8,10.5,0,0,0,0,0,40.9,Voiture,1,8,9,1,1,11.51,Moyen
Henoc,Sy,21,M,Sciences,L2,Général,1,1,100.0,1,0,1,9,11.32,0,0,1,0,0,37.0,Voiture,3,4,10,1,1,11.91,Moyen
Syrine,Sahadia,22,F,Informatique,M1,Technologique,2,0,44.4,6,5,3,11,11.24,0,1,1,1,20,12.9,Transport en commun,2,9,7,1,1,8.19,Moyen
Jey,Sakkaki,20,M,Gestion,L1,Technologique,1,0,69.5,4,5,2,10,10.62,1,0,0,0,0,19.4,Transport en commun,3,4,8,1,1,7.91,Faible
Abigail,Fontbonne,20,F,Droit,L2,Technologique,0,1,74.0,4,7,1,7,10.18,2,0,1,1,16,14.9,Transport en commun,4,6,6,0,0,5.25,Faible
Abdou,Dusabe,22,M,Lettres,L2,Général,3,1,45.2,7,9,3,10,11.72,0,1,0,1,12,1.3,Vélo/Marche,3,6,6,0,1,8.8,Moyen
Rama,Camara,22,F,Gestion,L3,Technologique,2,1,66.7,5,9,2,12,12.55,3,0,1,0,0,16.3,Transport en commun,1,5,10,1,1,11.94,Moyen
Ismael,Makila,23,M,Gestion,M2,Général,2,1,58.5,4,7,2,5,17.6,3,0,1,1,30,0.5,Vélo/Marche,3,7,5,0,1,9.04,Moyen
Safiatou,Ali,24,F,Mathematiques,M1,Général,3,0,87.7,1,5,2,8,17.57,2,0,1,0,0,7.1,Transport en commun,1,7,7,0,1,12.67,Bon
Nicolas,Fall,21,M,Gestion,L2,Technologique,2,1,46.3,6,13,2,8,11.94,2,0,1,0,0,48.5,Voiture,4,7,5,1,1,9.31,Moyen
Railey,Belatar,22,M,Gestion,M1,Général,1,0,100.0,0,12,2,9,8.92,1,1,1,0,0,6.5,Transport en commun,4,3,6,0,1,11.46,Moyen
Khamal,Cabrera belmar,20,M,Informatique,L1,Technologique,1,0,85.0,2,12,2,4,9.18,1,1,0,1,20,50.6,Logement sur place,5,3,6,1,1,10.72,Moyen
Mouniratou,Cihyoka,19,F,Psychologie,L1,Général,1,0,57.1,5,20,3,12,5.81,2,0,0,0,0,5.2,Transport en commun,1,3,9,1,0,4.91,Faible
Daro,Alabdullah alomar,21,F,Gestion,L1,Général,1,0,90.4,2,12,3,9,14.42,0,0,1,1,30,6.8,Transport en commun,3,5,8,1,1,12.39,Bon
Cheikh,Jday,22,M,Psychologie,L2,Technologique,2,0,83.6,4,9,1,10,10.63,2,1,1,1,30,17.8,Transport en commun,3,10,8,1,0,7.98,Faible
Manal,Traye Balezin,21,F,Psychologie,L2,Général,3,0,73.4,4,10,3,9,12.46,1,0,1,1,16,25.8,Voiture,5,5,4,0,1,12.55,Bon
Lea,Kouleta,22,F,Mathematiques,L3,Général,4,0,62.5,5,11,4,8,12.07,1,1,1,0,0,12.5,Transport en commun,3,10,7,0,1,11.54,Moyen
Kenza,Koyakosso esso,23,F,Sciences,M2,Technologique,2,0,82.8,4,14,1,11,8.15,1,0,0,0,0,38.5,Voiture,1,5,6,0,1,8.18,Moyen
Marie,Grosdoy,22,F,Gestion,L2,Général,1,0,76.0,2,11,2,9,7.68,0,1,1,0,0,0.7,Vélo/Marche,3,6,8,1,1,9.85,Moyen
Kouaho,Kouleta,20,M,Droit,L2,Général,0,0,63.0,7,1,3,4,9.08,4,1,0,1,25,46.0,Voiture,4,7,10,0,1,4.8,Faible
Akoete,Mbengue,21,M,Mathematiques,L1,Général,3,0,52.5,6,9,3,9,12.65,0,1,0,1,20,3.9,Vélo/Marche,4,5,2,0,1,9.4,Moyen
Manal,Alabdullah alomar,20,F,Sciences,L1,Technologique,2,1,60.4,7,11,1,8,10.49,4,0,1,1,8,38.8,Voiture,4,6,8,1,1,7.82,Faible
Catherine,Irakoze,21,F,Sciences,L3,Technologique,2,1,65.9,3,18,2,11,4.09,2,1,1,1,20,9.2,Transport en commun,2,2,10,0,1,10.01,Moyen
Evadnee,Kouleta,20,F,Mathematiques,L2,Technologique,3,1,92.6,1,7,3,12,6.91,4,1,1,0,0,32.2,Voiture,5,4,6,1,1,13.47,Bon
Kouaho,Dione,24,M,Informatique,M1,Général,2,0,87.8,3,3,5,10,9.78,2,1,1,1,20,20.0,Voiture,1,2,7,1,1,11.89,Moyen
Mohamed,Sahadia,21,M,Sciences,L1,Technologique,3,1,66.8,5,11,1,12,10.68,4,0,1,0,0,3.5,Vélo/Marche,5,7,8,1,1,10.29,Moyen
Blanche,Moudjalou mombo,21,F,Sciences,L1,Technologique,0,0,67.4,3,15,5,7,12.76,1,1,0,0,0,45.0,Voiture,4,3,3,1,1,10.17,Moyen
Mouniratou,Badaoui,21,F,Mathematiques,L2,Technologique,3,0,89.9,2,9,2,7,10.95,2,0,1,1,12,5.1,Transport en commun,4,9,7,0,1,12.82,Bon
Marie,Schwartz,19,F,Sciences,L1,Général,3,0,78.3,3,23,1,8,9.42,0,0,0,1,12,5.0,Transport en commun,4,6,5,1,1,12.34,Bon
Francoise,Wu,21,F,Gestion,L1,Technologique,1,1,78.1,4,22,2,10,9.29,1,1,0,0,0,30.3,Voiture,1,8,10,1,1,9.48,Moyen
Jessica,Belatar,22,F,Sciences,L3,Technologique,2,0,62.7,4,11,3,7,11.57,2,0,0,0,0,2.0,Vélo/Marche,0,4,6,0,1,9.02,Moyen
Simeon,Fall,21,M,Informatique,L1,Général,1,0,72.0,4,12,1,5,12.39,2,1,0,0,0,4.5,Vélo/Marche,1,3,6,0,1,9.02,Moyen
Julfab,Mouissi amoussou,21,M,Droit,L3,Général,4,0,74.1,4,18,2,9,9.55,1,1,1,1,25,12.6,Transport en commun,1,5,8,1,1,11.9,Moyen
Naela,Tchassama,21,F,Mathematiques,L1,Technologique,0,1,72.5,3,11,4,6,6.7,0,1,1,0,0,31.9,Voiture,3,8,8,0,1,6.05,Faible
Mouniratou,Toubol,19,F,Gestion,L1,Général,2,1,85.7,2,7,5,12,10.43,2,1,0,1,20,2.9,Vélo/Marche,2,10,8,1,1,12.32,Bon
Mohamed,Senouci,21,M,Informatique,L2,Professionnel,1,0,86.2,2,15,2,11,8.33,2,0,0,0,0,14.3,Transport en commun,4,7,10,0,1,10.55,Moyen
Marie Paul,Cabrera belmar,23,M,Informatique,M1,Technologique,2,0,59.3,5,13,1,7,11.89,0,0,0,0,0,22.4,Voiture,3,3,6,0,0,11.81,Moyen
Rawaa,El abi,22,F,Lettres,L2,Général,1,0,66.0,3,7,4,10,16.43,4,0,1,0,0,35.5,Voiture,4,3,10,1,1,14.79,Bon
Harold,Aguigah,22,M,Mathematiques,M1,Général,1,1,63.0,6,12,3,8,5.66,5,0,1,0,0,49.4,Voiture,4,2,10,0,0,6.68,Faible
Hafizou,Aguigah,19,M,Psychologie,L1,Général,2,0,96.2,0,10,1,9,15.17,4,0,1,1,30,27.6,Voiture,2,5,5,1,1,14.46,Bon
Safiatou,Le page,22,F,Informatique,M1,Professionnel,4,1,100.0,0,9,5,9,12.58,3,1,1,1,20,19.0,Transport en commun,2,5,6,0,0,15.62,Excellent
Jessica,Lourenco,21,F,Gestion,L1,Général,1,0,66.6,5,7,0,8,14.99,0,0,1,0,0,10.2,Transport en commun,2,5,7,0,0,11.66,Moyen
Bintou,Alabdullah alomar,21,F,Mathematiques,L3,Technologique,1,1,71.3,4,12,3,11,9.14,5,0,1,0,0,2.1,Vélo/Marche,4,3,6,1,1,9.25,Moyen
Francis,Gaye,21,M,Informatique,L3,Général,3,0,87.5,3,10,2,6,5.31,1,1,0,1,25,22.3,Voiture,3,3,10,1,1,9.11,Moyen
Daro,Tall,23,F,Informatique,M2,Général,2,0,62.7,4,12,3,10,11.48,0,0,1,0,0,88.7,Logement sur place,2,6,5,1,1,9.44,Moyen
Omar,Crespo,20,M,Gestion,L2,Général,4,0,87.8,1,15,1,10,16.12,3,0,0,0,0,24.0,Voiture,4,7,7,1,1,15.88,Excellent
Francis,Mousali,21,M,Gestion,L1,Général,1,0,73.7,5,12,3,5,6.77,1,0,0,0,0,0.5,Vélo/Marche,1,3,5,1,1,5.87,Faible
Vavo,Muller,21,F,Gestion,L1,Professionnel,2,0,46.1,5,12,5,7,7.34,2,1,1,1,20,12.3,Transport en commun,4,7,7,1,1,8.91,Moyen
Dania,Kaba,22,F,Lettres,M1,Général,1,1,53.2,6,8,2,6,13.03,0,1,1,0,0,17.2,Transport en commun,3,8,10,0,1,8.1,Moyen
Evadnee,Sossoumihen,20,F,Lettres,L2,Général,1,0,68.6,3,17,3,8,8.85,2,1,1,0,0,21.1,Voiture,4,0,10,1,1,8.09,Moyen
Christa,Moenza,23,F,Informatique,M1,Général,2,1,93.6,2,7,2,9,17.13,2,0,0,1,8,22.9,Voiture,5,9,7,0,1,13.34,Bon
Syrine,Hounhuedo,20,F,Gestion,L1,Général,2,1,59.7,4,3,4,7,13.28,1,1,1,1,8,14.7,Transport en commun,4,7,8,0,1,8.43,Moyen
Sabridass,Dushime,20,M,Droit,L2,Général,3,0,65.5,4,6,5,11,8.07,0,1,0,0,0,4.6,Vélo/Marche,3,8,8,0,1,9.01,Moyen
Mohammadreza,Comparot,19,M,Lettres,L1,Technologique,1,1,77.4,2,16,4,12,8.65,2,0,0,0,0,51.3,Logement sur place,2,3,6,0,0,11.87,Moyen
Khamal,Richir,24,M,Sciences,M2,Général,2,1,47.3,5,13,3,12,8.8,2,0,0,1,30,21.5,Voiture,4,7,10,1,1,6.02,Faible
Railey,Goursolle,22,M,Mathematiques,L3,Général,2,0,78.8,4,18,5,2,10.64,1,1,1,0,0,4.9,Vélo/Marche,3,7,9,0,1,9.95,Moyen
Evadnee,Jday,23,F,Psychologie,M2,Général,4,1,49.3,6,4,1,12,11.96,4,0,1,0,0,7.0,Transport en commun,1,4,7,0,0,7.18,Faible
Vianney,Monasse,21,M,Psychologie,L1,Professionnel,1,0,83.1,5,23,2,9,11.68,1,1,1,1,20,45.9,Voiture,4,7,6,1,1,11.02,Moyen
Miryam,Ponnou,23,F,Lettres,L3,Général,1,0,61.1,8,10,3,9,6.53,4,0,0,1,8,39.3,Voiture,2,5,7,0,0,2.34,Faible
Ikram,Paucarima,21,F,Droit,L3,Général,1,1,58.9,4,2,2,9,14.23,0,1,0,1,20,9.3,Transport en commun,0,4,7,1,1,5.82,Faible
Christa,Obambi mbongo ngala,20,F,Informatique,L2,Technologique,2,0,78.4,2,22,4,6,9.7,1,0,0,0,0,0.7,Vélo/Marche,5,5,7,0,1,12.06,Bon
Taisir,Ali,23,F,Informatique,M1,Général,1,0,86.7,1,4,3,10,7.28,0,0,1,1,25,0.9,Vélo/Marche,3,6,9,0,1,7.61,Faible
Esther,Yassir,24,F,Psychologie,M2,Général,4,0,80.0,5,9,1,12,9.04,1,0,1,0,0,6.0,Transport en commun,2,5,8,0,1,9.68,Moyen
Francoise,Tchibozo houessou,24,F,Psychologie,M1,Général,1,1,77.3,2,10,2,9,14.65,0,1,1,0,0,17.9,Transport en commun,4,4,5,0,1,12.58,Bon
Boussad,Laclau,21,M,Informatique,L3,Technologique,3,1,77.5,3,13,2,6,11.52,1,1,1,1,16,15.8,Transport en commun,4,6,5,1,1,11.58,Moyen
Manon,Adam,20,F,Mathematiques,L1,Général,0,0,80.1,2,7,3,5,11.85,1,1,0,1,20,18.1,Transport en commun,0,7,9,1,1,8.17,Moyen
Vianney,Paire,21,M,Informatique,L1,Technologique,2,1,81.2,4,16,2,8,6.35,1,1,0,0,0,22.7,Voiture,4,6,5,0,0,7.15,Faible
Mbayame,AdjoAwada,25,M,Mathematiques,M2,Général,3,1,67.7,6,15,1,7,11.3,2,0,1,0,0,0.5,Vélo/Marche,4,2,6,0,1,13.49,Bon
Mouniratou,Loukou Brou,21,F,Psychologie,L1,Général,1,0,84.5,2,11,3,11,14.59,5,1,1,0,0,2.0,Vélo/Marche,2,4,6,0,1,11.69,Moyen
Marie Paul,Tourret,22,M,Lettres,L3,Général,4,0,61.2,5,18,4,12,3.95,1,0,1,1,30,8.0,Transport en commun,3,4,5,1,1,8.38,Moyen
Tova,Chanwin,22,F,Mathematiques,L3,Général,2,1,91.5,1,11,5,10,9.32,3,0,1,1,12,3.0,Vélo/Marche,1,9,7,0,1,11.46,Moyen
Ikram,Chanwin,21,F,Gestion,L3,Technologique,4,1,86.5,3,10,5,9,13.17,3,0,1,0,0,1.4,Vélo/Marche,4,6,7,1,1,15.38,Excellent
Paola,Rakotonjanahary,23,F,Informatique,M2,Général,2,1,100.0,3,21,4,9,11.4,2,0,0,0,0,18.4,Transport en commun,4,5,6,1,0,15.27,Excellent
Yowan,Andriamampianina,22,M,Mathematiques,L2,Général,1,0,82.2,2,12,1,9,6.93,4,0,0,0,0,30.4,Voiture,1,4,10,0,0,7.01,Faible
Hugo,Ali,22,M,Sciences,L2,Général,1,0,88.5,1,6,4,6,12.31,5,0,1,0,0,25.1,Voiture,4,5,2,1,1,8.98,Moyen
Mouniratou,Ayedi,20,F,Droit,L1,Professionnel,1,0,49.0,6,7,2,11,6.36,1,0,1,1,20,30.6,Voiture,4,7,5,1,1,1.91,Faible
Hugo,Badaoui,21,M,Psychologie,L2,Général,0,0,89.1,3,11,3,6,7.5,2,1,0,1,20,19.7,Transport en commun,2,1,6,1,0,9.43,Moyen
Miryam,Ulukuz,19,F,Informatique,L1,Professionnel,1,0,92.8,3,0,3,12,7.9,2,0,0,0,0,23.9,Voiture,4,6,4,0,1,6.91,Faible
Clarissia,Faviere--Prado,20,F,Droit,L2,Général,0,1,98.1,0,8,4,8,16.66,1,0,1,0,0,5.7,Transport en commun,0,4,10,1,0,13.14,Bon
Jessica,Jday,22,F,Psychologie,M1,Général,2,0,75.9,2,10,2,11,4.46,1,1,1,0,0,89.3,Logement sur place,5,6,10,0,1,10.78,Moyen
Jihad,Rakotonjanahary,24,M,Psychologie,M2,Général,3,1,68.5,4,10,0,5,4.74,4,0,0,0,0,3.6,Vélo/Marche,3,7,6,0,1,4.54,Faible
Mohamed,Obambi mbongo ngala,21,M,Gestion,L1,Général,1,0,56.6,6,5,3,11,11.88,3,1,1,0,0,4.3,Vélo/Marche,3,4,9,1,0,8.8,Moyen
Paola,Ben jeddou,20,F,Gestion,L2,Général,1,1,58.0,4,9,1,12,11.2,0,1,0,0,0,6.1,Transport en commun,4,2,8,1,1,8.16,Moyen
Yowan,Chanwin,23,M,Mathematiques,M2,Général,2,0,73.6,4,17,5,6,9.01,0,0,1,0,0,66.6,Logement sur place,3,5,10,0,0,9.08,Moyen
Mohammadreza,Nait mohamed,20,M,Informatique,L1,Professionnel,1,0,46.0,7,16,3,9,10.85,4,0,0,0,0,80.0,Logement sur place,4,8,7,1,1,10.25,Moyen
Sophie,Pham Huu,19,F,Mathematiques,L1,Technologique,0,0,61.7,7,11,3,10,6.75,0,0,1,1,25,28.5,Voiture,3,7,8,1,1,6.85,Faible
Lena,Yassir,21,F,Mathematiques,L1,Technologique,1,1,75.4,3,11,4,10,11.15,2,0,1,0,0,17.9,Transport en commun,5,5,9,0,0,12.15,Bon
Aimee Veronica,Ponnou,22,F,Gestion,L3,Général,4,1,75.1,2,10,3,8,11.6,1,0,0,1,20,13.2,Transport en commun,3,4,9,0,1,13.6,Bon
Delicia,Chanwin,19,F,Sciences,L1,Général,3,0,58.5,4,12,2,8,15.42,0,0,1,1,20,63.5,Logement sur place,2,4,7,0,1,12.83,Bon
Akoete,Paucarima,23,M,Gestion,M2,Général,1,0,54.3,6,12,2,10,18.05,0,0,0,1,20,21.4,Voiture,5,3,5,1,1,10.49,Moyen
Awa,Dagou,21,F,Informatique,L2,Technologique,2,1,56.6,4,13,3,10,9.78,1,1,1,0,0,52.1,Logement sur place,4,7,5,1,1,10.17,Moyen
Syrine,Attias,21,F,Droit,L2,Professionnel,2,0,70.5,8,14,4,7,5.96,0,0,1,1,25,6.9,Transport en commun,4,8,3,0,0,4.79,Faible
Hugo,Bamba,19,M,Droit,L1,Général,2,0,100.0,0,5,4,7,12.26,2,1,0,0,0,7.3,Transport en commun,5,5,8,1,1,9.95,Moyen
Louise,Yassir,22,F,Psychologie,L2,Général,2,0,91.0,3,9,5,12,10.29,2,0,0,1,30,34.7,Voiture,1,4,7,1,1,12.47,Bon
Magnificath,Terkmani,22,F,Droit,L3,Général,2,1,77.4,3,12,0,9,10.12,1,1,1,1,12,2.9,Vélo/Marche,3,4,7,1,1,10.62,Moyen
Aimee Veronica,Yassir,24,F,Lettres,M1,Général,1,0,82.9,3,6,2,3,4.68,3,0,0,0,0,52.5,Logement sur place,2,5,7,0,1,2.52,Faible
Mondesire,Richir,22,F,Droit,M1,Général,0,0,90.3,4,8,1,12,11.17,2,1,1,0,0,12.7,Transport en commun,3,4,5,1,1,8.99,Moyen
Elodie,Sossoumihen,23,F,Informatique,L3,Général,2,1,84.8,3,10,3,8,12.41,1,0,0,1,25,47.0,Voiture,4,5,7,1,1,12.31,Bon
Koulbou,Djokpo,23,M,Gestion,M2,Technologique,3,0,69.1,3,10,1,9,14.57,1,1,1,1,16,7.4,Transport en commun,5,7,8,0,1,12.5,Bon
Jonathan,Moenza,22,M,Mathematiques,M1,Général,2,0,60.5,5,12,1,10,8.88,1,0,1,1,16,22.7,Voiture,3,7,5,0,1,4.8,Faible
Ikram,Senouci,22,F,Informatique,M1,Général,3,0,72.0,3,7,3,5,7.66,5,0,1,1,25,11.9,Transport en commun,4,4,7,1,1,6.58,Faible
Dourra,Zouaoui,19,F,Informatique,L1,Professionnel,4,1,90.1,1,16,2,8,8.85,2,0,0,1,16,17.7,Transport en commun,5,6,6,0,1,14.79,Bon
Eva,Khelouat,21,F,Sciences,L1,Général,1,0,69.7,4,10,3,12,14.35,1,0,0,1,20,12.6,Transport en commun,4,7,6,1,1,10.56,Moyen
Magnificath,Zebriquane,19,F,Psychologie,L1,Général,2,1,56.3,5,12,2,12,16.07,3,0,0,0,0,61.5,Logement sur place,2,3,5,0,1,13.41,Bon
Leilath,Krim,21,F,Lettres,L3,Général,2,1,46.4,6,9,2,8,15.06,1,0,0,0,0,21.2,Voiture,3,6,6,0,1,11.63,Moyen
Syrine,Ben jeddou,22,F,Informatique,L2,Général,4,0,72.1,4,12,2,11,13.26,0,0,1,1,25,5.2,Transport en commun,5,8,10,0,1,12.33,Bon
Ikram,Lakhal,21,F,Psychologie,L2,Général,4,1,57.6,4,19,4,11,10.68,2,0,1,0,0,43.3,Voiture,5,5,6,0,1,14.23,Bon
Belicia,Camara,24,F,Sciences,M1,Technologique,2,0,67.0,5,9,2,11,11.27,3,1,1,1,8,6.3,Transport en commun,3,1,6,0,0,7.66,Faible
Miryam,AdjoAwada,24,F,Gestion,M1,Général,1,0,97.3,1,8,2,6,11.82,1,1,1,0,0,8.4,Transport en commun,4,0,6,1,1,11.25,Moyen
Khady,Adam,25,F,Sciences,M2,Général,3,0,73.1,7,7,2,12,9.84,4,0,0,1,16,1.9,Vélo/Marche,2,6,6,0,1,9.09,Moyen
Tova,Camara,20,F,Mathematiques,L2,Technologique,0,0,62.0,6,11,1,8,14.18,1,1,0,0,0,41.4,Voiture,2,6,10,1,1,8.32,Moyen
Brandon,Boudine-Mervillon,21,M,Mathematiques,L3,Général,3,0,78.9,4,11,4,9,4.52,1,1,1,0,0,6.1,Transport en commun,5,6,9,1,1,10.37,Moyen
Omar,Ekoga bideng,19,M,Droit,L1,Technologique,4,0,100.0,0,11,1,8,5.22,5,0,1,0,0,5.4,Transport en commun,1,7,7,1,1,11.5,Moyen
Francois,Loukou Brou,20,M,Mathematiques,L1,Technologique,1,0,72.1,4,13,4,10,4.51,2,0,1,0,0,45.5,Voiture,2,2,6,0,1,8.02,Moyen
Francoise,Zouaoui,19,F,Gestion,L1,Général,2,1,36.3,6,13,2,7,7.75,3,0,0,1,16,29.5,Voiture,3,4,4,1,1,5.7,Faible
Beni,Koyakosso esso,21,M,Droit,L2,Technologique,2,0,84.4,3,11,4,8,15.92,3,1,1,1,8,2.7,Vélo/Marche,3,6,5,1,1,14.27,Bon
Hafizou,Diop desbonnet,20,M,Sciences,L2,Général,2,1,79.5,4,21,4,9,6.28,4,0,0,1,8,26.4,Voiture,3,7,3,0,1,8.46,Moyen
Coomi,Ben jeddou,24,F,Informatique,M1,Professionnel,1,0,75.4,4,14,3,12,6.42,0,1,1,0,0,44.0,Voiture,2,5,8,1,0,7.5,Faible
Balla,Makila,19,M,Informatique,L1,Général,3,0,70.5,4,6,3,12,7.66,1,1,1,0,0,1.5,Vélo/Marche,5,2,9,0,1,12.52,Bon
Ayedi,Adjagbe,22,F,Informatique,L3,Professionnel,4,0,61.1,4,3,2,12,15.01,3,0,0,0,0,31.4,Voiture,5,6,6,0,1,13.45,Bon
Yacine,Paire,21,M,Sciences,L2,Technologique,4,0,98.2,4,8,3,11,16.25,2,0,1,0,0,14.3,Transport en commun,3,6,7,1,1,15.25,Excellent
Hugo,Baouya,19,M,Gestion,L1,Général,1,0,44.6,8,12,2,12,14.66,2,1,1,0,0,19.9,Transport en commun,3,3,5,1,1,10.21,Moyen
Daro,Bensmaine,22,F,Informatique,L2,Général,3,1,69.1,3,7,2,8,14.89,0,0,1,0,0,12.2,Transport en commun,4,1,3,0,0,10.6,Moyen
Omar,Chan,19,M,Droit,L1,Professionnel,3,1,68.7,5,8,3,9,17.08,1,0,0,1,25,21.5,Voiture,4,7,7,1,1,11.88,Moyen
Simeon,Dagou,21,M,Lettres,L3,Technologique,1,1,87.7,1,11,2,9,3.97,2,0,0,1,20,0.6,Vélo/Marche,3,4,7,1,1,7.13,Faible
Louise,Motondo masengi,20,F,Mathematiques,L2,Général,0,0,93.8,1,9,4,9,6.15,1,1,0,1,16,25.9,Voiture,3,6,10,1,1,8.23,Moyen
Safiatou,Mousali,21,F,Lettres,L1,Technologique,1,1,70.4,6,1,2,5,8.14,1,0,0,1,12,0.6,Vélo/Marche,2,6,10,0,1,4.03,Faible
Djidou,Bertolini,20,M,Sciences,L1,Général,4,0,77.1,4,16,3,10,11.19,0,1,1,0,0,10.9,Transport en commun,2,3,6,1,1,13.29,Bon
Rama,Sagnon,22,F,Informatique,L2,Général,2,0,78.4,3,15,5,10,11.18,0,0,1,1,20,2.9,Vélo/Marche,3,6,8,0,1,10.58,Moyen
Abdoul,Mousali,24,M,Mathematiques,M2,Général,2,1,90.9,1,5,3,8,11.24,3,0,1,0,0,31.2,Voiture,4,4,7,1,1,12.8,Bon
Nehuan,Sossoumihen,21,M,Psychologie,L2,Général,1,1,90.5,3,11,3,5,13.97,3,1,1,0,0,6.8,Transport en commun,4,2,7,0,0,14.48,Bon
Miryam,Montanary,22,F,Gestion,L3,Technologique,2,0,65.4,5,5,3,9,3.51,0,1,0,1,30,10.9,Transport en commun,4,2,7,1,1,5.7,Faible
Vavo,Tourret,23,F,Lettres,L3,Général,0,0,81.0,3,8,4,6,10.27,1,0,1,1,20,10.1,Transport en commun,3,5,7,0,1,7.26,Faible
Eva,Haddad,23,F,Gestion,M2,Technologique,1,0,80.1,2,13,2,10,11.81,2,0,1,1,16,26.7,Voiture,4,9,7,0,1,11.45,Moyen
Caroline,Sahadia,22,F,Informatique,M1,Général,2,1,72.1,3,15,3,9,9.56,1,0,1,1,20,11.8,Transport en commun,0,6,10,1,1,8.68,Moyen
Vavo,Motondo masengi,21,F,Informatique,L3,Général,1,0,80.0,4,15,2,10,11.52,3,1,0,0,0,28.0,Voiture,3,9,7,0,0,11.23,Moyen
Awa,Aguigah,21,F,Gestion,L3,Général,3,1,74.3,5,12,0,6,14.68,3,0,1,0,0,1.4,Vélo/Marche,4,9,10,0,1,10.61,Moyen
Mathieu,Adjagbe,22,M,Mathematiques,M1,Général,1,0,76.5,3,17,1,12,11.04,4,1,0,0,0,3.8,Vélo/Marche,3,7,5,1,1,9.93,Moyen
Caroline,Sangwe,22,F,Informatique,L2,Général,2,0,52.3,5,8,2,9,18.92,2,1,1,1,16,14.4,Transport en commun,3,9,2,1,1,10.81,Moyen
Georges,Moenza,22,M,Psychologie,L2,Général,2,0,59.3,6,9,3,7,14.41,1,0,0,1,20,52.9,Logement sur place,3,9,6,0,0,8.2,Moyen
CédricThomas,Gaye,21,M,Droit,L1,Général,2,0,87.1,4,0,4,10,11.81,2,1,1,1,25,1.4,Vélo/Marche,5,8,5,0,1,10.67,Moyen
Ismael,Montanary,24,M,Psychologie,M1,Général,0,0,54.6,6,11,4,9,12.71,0,1,1,0,0,0.8,Vélo/Marche,3,1,4,1,1,7.77,Faible
Francois,Manantsoa,24,M,Psychologie,M1,Général,0,1,81.5,2,14,3,12,13.62,0,0,0,0,0,3.1,Vélo/Marche,4,5,9,1,1,11.49,Moyen
Hadja,Ali,21,F,Mathematiques,L1,Général,3,1,72.7,5,12,0,8,17.2,0,1,1,0,0,18.4,Transport en commun,5,4,4,0,1,14.08,Bon
Dourra,Yassir,23,F,Droit,L3,Technologique,1,1,90.5,2,8,2,6,15.26,1,1,0,1,20,9.2,Transport en commun,4,8,8,1,1,11.81,Moyen
Eva,Sagnon,20,F,Informatique,L2,Professionnel,3,1,84.4,3,15,2,10,12.75,1,1,1,0,0,31.4,Voiture,3,5,10,1,0,12.14,Bon
